Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Joe Johnson,SG,32,BRK,79,2575,15.5,.564,.397,.192,2.2,10.3,6.3,15.0,1.0,0.3,9.8,22.3,3.9,1.0,4.9,.091,2.0,-1.8,0.2,1.4,2014
DeAndre Jordan,C,25,LAC,82,2870,18.2,.630,.000,.726,13.3,29.3,21.6,3.7,1.4,5.4,15.3,12.4,5.3,5.8,11.1,.186,0.9,1.6,2.5,3.3,2014
Kyle Korver,SG,32,ATL,71,2408,13.5,.653,.644,.154,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,3.9,2.0,5.9,.118,0.9,0.2,1.1,1.9,2014
David Lee,PF,30,GSW,69,2288,19.1,.566,.001,.302,8.8,21.6,15.3,10.9,1.0,0.9,12.0,24.3,4.1,3.5,7.6,.160,1.1,0.3,1.3,1.9,2014
Kawhi Leonard,SF,22,SAS,66,1923,19.4,.602,.282,.195,4.6,18.9,12.1,10.4,3.0,1.9,10.3,18.3,3.8,3.9,7.7,.193,2.1,3.0,5.1,3.5,2014
Damian Lillard,PG,23,POR,82,2937,18.6,.568,.425,.327,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25.0,7.8,1.8,9.6,.157,3.8,-0.6,3.2,3.9,2014
Kevin Love,PF,25,MIN,77,2797,26.9,.591,.355,.445,8.5,29.5,18.7,21.4,1.0,1.0,10.3,28.8,10.6,3.7,14.3,.245,8.3,0.6,8.9,7.7,2014
Kyle Lowry,PG,27,TOR,79,2862,20.1,.567,.463,.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,8.4,3.3,11.7,.197,4.1,0.6,4.7,4.8,2014
Khris Middleton,SF,22,MIL,82,2460,12.5,.541,.340,.160,2.7,12.0,7.2,11.7,1.8,0.7,11.9,19.1,1.9,0.8,2.7,.053,-1.2,-1.1,-2.3,-0.2,2014
Paul Millsap,PF,28,ATL,74,2482,19.8,.545,.202,.373,7.2,21.9,14.6,16.2,2.6,2.5,13.2,25.7,2.7,4.0,6.7,.129,1.4,1.3,2.8,3.0,2014
Victor Oladipo,PG,21,ORL,80,2487,13.6,.514,.241,.340,1.9,13.1,7.5,21.9,2.7,1.2,19.2,24.4,-1.4,2.8,1.3,.026,-1.9,0.4,-1.4,0.3,2014
Tony Parker,PG,31,SAS,68,1997,18.9,.555,.073,.266,1.0,7.5,4.4,31.7,0.9,0.3,12.9,26.5,3.9,1.9,5.9,.141,2.0,-1.2,0.9,1.5,2014
Chris Paul,PG,28,LAC,62,2171,25.9,.580,.244,.397,2.0,11.4,6.9,48.9,3.5,0.1,12.4,23.7,9.0,3.2,12.2,.270,6.0,2.6,8.6,5.8,2014
Zach Randolph,PF,32,MEM,79,2705,18.3,.510,.017,.281,11.6,23.3,17.4,12.7,1.1,0.7,12.0,26.1,2.9,3.5,6.4,.113,0.8,-0.9,-0.1,1.3,2014
Jeff Teague,PG,25,ATL,79,2542,17.1,.541,.216,.362,1.6,7.9,4.7,35.1,1.8,0.5,16.1,25.7,3.3,1.9,5.2,.098,1.2,-1.3,-0.1,1.2,2014
Klay Thompson,SG,23,GSW,81,2868,14.3,.555,.425,.147,1.5,7.9,4.7,10.2,1.3,1.0,9.2,22.6,3.5,3.2,6.7,.112,0.9,-0.1,0.8,2.0,2014
Dwyane Wade,SG,32,MIA,54,1775,22.0,.588,.042,.339,4.4,12.3,8.5,25.5,2.3,1.4,15.5,27.9,3.5,2.0,5.5,.149,2.9,0.0,2.9,2.2,2014
Kemba Walker,PG,23,CHA,73,2614,16.8,.499,.286,.295,1.7,11.6,6.6,29.7,1.7,1.0,11.6,25.8,1.8,3.3,5.1,.093,1.4,0.3,1.7,2.4,2014
John Wall,PG,23,WAS,82,2980,19.5,.524,.230,.295,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,4.0,4.0,7.9,.128,2.4,0.4,2.7,3.6,2014
Deron Williams,PG,29,BRK,64,2059,17.6,.564,.374,.302,0.9,8.9,4.9,32.8,2.4,0.5,15.0,21.8,3.8,1.5,5.4,.125,1.9,-0.7,1.2,1.7,2014
LaMarcus Aldridge,PF,29,POR,71,2512,22.8,.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,4.9,3.7,8.6,.165,3.2,-0.3,2.9,3.1,2015
Giannis Antetokounmpo,SG,20,MIL,81,2541,14.8,.552,.056,.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4.0,6.2,.117,-1.2,1.2,0.0,1.2,2015
Bradley Beal,SG,21,WAS,63,2107,14.0,.521,.304,.195,3.1,9.6,6.4,15.0,1.8,0.7,11.7,22.5,1.3,2.4,3.7,.085,-0.1,0.2,0.1,1.1,2015
Jimmy Butler,SG,25,CHI,65,2513,21.3,.583,.212,.508,5.1,11.2,8.2,14.4,2.3,1.0,7.7,21.6,8.2,3.0,11.2,.214,3.4,1.2,4.6,4.2,2015
Stephen Curry,PG,26,GSW,80,2613,28.0,.638,.482,.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,11.5,4.1,15.7,.288,8.2,1.7,9.9,7.9,2015
Anthony Davis,PF,21,NOP,68,2455,30.8,.591,.010,.384,8.0,24.1,16.1,11.6,2.1,6.2,6.3,27.8,9.9,4.2,14.0,.274,6.6,2.3,8.9,6.7,2015
DeMar DeRozan,SG,25,TOR,60,2100,17.4,.510,.089,.438,2.3,12.9,7.6,17.0,1.8,0.4,10.4,28.4,2.6,1.4,4.0,.090,0.5,-1.4,-0.9,0.6,2015
Goran Dragic,SG-PG,28,TOT,78,2640,17.4,.577,.258,.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,5.4,1.4,6.8,.123,1.6,-0.8,0.8,1.8,2015
Goran Dragic,SG,28,PHO,52,1735,16.7,.573,.274,.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,3.1,0.9,4.0,.111,1.1,-1.0,0.1,0.9,2015
Marc Gasol,C,30,MEM,81,2687,21.7,.558,.016,.410,4.9,21.8,13.4,19.7,1.4,4.0,12.2,24.6,5.5,4.7,10.2,.182,2.7,2.4,5.1,4.8,2015
Pau Gasol,PF,34,CHI,78,2681,22.7,.550,.023,.317,9.2,27.6,18.6,14.4,0.5,4.0,10.7,24.7,6.0,4.4,10.4,.187,2.9,0.6,3.5,3.7,2015
Draymond Green,PF,24,GSW,79,2490,16.4,.540,.430,.261,5.1,22.4,14.0,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,.163,0.7,2.8,3.5,3.5,2015
Blake Griffin,PF,25,LAC,67,2356,22.8,.551,.022,.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,6.6,2.4,9.0,.183,3.8,0.2,4.0,3.6,2015
