Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Zach Randolph,PF,32,MEM,79,79,34.2,7.1,15.2,.467,0.0,0.3,.100,7.1,14.9,.474,.468,3.2,4.3,.742,3.4,6.7,10.1,2.5,0.7,0.3,2.3,2.7,17.4,2014
Rajon Rondo,PG,27,BOS,30,30,33.3,4.7,11.7,.403,0.9,3.0,.289,3.8,8.7,.442,.440,1.4,2.2,.627,0.7,4.7,5.5,9.8,1.3,0.1,3.3,2.2,11.7,2014
Jeff Teague,PG,25,ATL,79,79,32.2,5.8,13.2,.438,0.9,2.8,.329,4.8,10.3,.469,.474,4.0,4.8,.846,0.4,2.2,2.6,6.7,1.1,0.2,2.9,2.0,16.5,2014
Klay Thompson,SG,23,GSW,81,81,35.4,6.9,15.5,.444,2.8,6.6,.417,4.1,8.9,.464,.533,1.8,2.3,.795,0.5,2.6,3.1,2.2,0.9,0.5,1.7,2.9,18.4,2014
Dwyane Wade,SG,32,MIA,54,53,32.9,7.7,14.1,.545,0.2,0.6,.281,7.5,13.5,.557,.551,3.5,4.8,.733,1.1,3.4,4.5,4.7,1.5,0.5,3.0,2.0,19.0,2014
Kemba Walker,PG,23,CHA,73,73,35.8,6.2,15.7,.393,1.5,4.5,.333,4.7,11.2,.417,.441,3.9,4.6,.837,0.5,3.7,4.2,6.1,1.2,0.4,2.3,1.8,17.7,2014
John Wall,PG,23,WAS,82,82,36.3,7.1,16.3,.433,1.3,3.8,.351,5.7,12.5,.458,.473,3.9,4.8,.805,0.5,3.6,4.1,8.8,1.8,0.5,3.6,2.7,19.3,2014
Russell Westbrook,PG,25,OKC,46,46,30.7,7.5,17.2,.437,1.5,4.7,.318,6.0,12.5,.482,.480,5.3,6.4,.826,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3,21.8,2014
Deron Williams,PG,29,BRK,64,58,32.2,5.0,11.2,.450,1.5,4.2,.366,3.5,7.0,.500,.518,2.7,3.4,.801,0.2,2.4,2.6,6.1,1.5,0.2,2.2,2.3,14.3,2014
LaMarcus Aldridge,PF,29,POR,71,71,35.4,9.3,19.9,.466,0.5,1.5,.352,8.8,18.5,.475,.479,4.3,5.1,.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,2015
Giannis Antetokounmpo,SG,20,MIL,81,71,31.4,4.7,9.6,.491,0.1,0.5,.159,4.6,9.1,.511,.496,3.2,4.3,.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7,2015
Bradley Beal,SG,21,WAS,63,59,33.4,5.8,13.5,.427,1.7,4.1,.409,4.1,9.4,.434,.489,2.1,2.6,.783,0.9,2.9,3.8,3.1,1.2,0.3,2.0,2.2,15.3,2015
Jimmy Butler,SG,25,CHI,65,65,38.7,6.5,14.0,.462,1.1,3.0,.378,5.4,11.1,.484,.502,5.9,7.1,.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0,2015
Stephen Curry,PG,26,GSW,80,80,32.7,8.2,16.8,.487,3.6,8.1,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8,2015
Anthony Davis,PF,21,NOP,68,68,36.1,9.4,17.6,.535,0.0,0.2,.083,9.4,17.5,.540,.536,5.5,6.8,.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,2015
DeMar DeRozan,SG,25,TOR,60,60,35.0,6.8,16.5,.413,0.4,1.5,.284,6.4,15.0,.426,.426,6.0,7.2,.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2.0,20.1,2015
Goran Dragic,SG-PG,28,TOT,78,78,33.8,6.4,12.8,.501,1.2,3.3,.347,5.3,9.5,.555,.546,2.3,3.0,.774,1.0,2.5,3.5,4.5,1.0,0.2,2.2,2.5,16.3,2015
Goran Dragic,SG,28,PHO,52,52,33.4,6.5,13.1,.501,1.3,3.6,.355,5.3,9.5,.556,.549,1.9,2.5,.746,1.0,2.6,3.6,4.1,1.0,0.2,2.2,2.3,16.2,2015
Goran Dragic,PG,28,MIA,26,26,34.8,6.2,12.4,.502,0.9,2.8,.329,5.3,9.6,.552,.539,3.2,4.0,.808,1.2,2.3,3.4,5.3,1.1,0.2,2.3,2.9,16.6,2015
Kevin Durant,SF,26,OKC,27,27,33.8,8.8,17.3,.510,2.4,5.9,.403,6.4,11.4,.565,.578,5.4,6.3,.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4,2015
Marc Gasol,C,30,MEM,81,81,33.2,6.5,13.2,.494,0.0,0.2,.176,6.5,13.0,.500,.496,4.3,5.4,.795,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4,2015
Pau Gasol,PF,34,CHI,78,78,34.4,7.3,14.8,.494,0.2,0.3,.462,7.2,14.4,.495,.500,3.8,4.7,.803,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9,18.5,2015
Paul George,SF,24,IND,6,0,15.2,3.0,8.2,.367,1.5,3.7,.409,1.5,4.5,.333,.459,1.3,1.8,.727,0.7,3.0,3.7,1.0,0.8,0.2,2.0,1.8,8.8,2015
Draymond Green,PF,24,GSW,79,79,31.5,4.3,9.7,.443,1.4,4.2,.337,2.9,5.5,.523,.516,1.7,2.5,.660,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7,2015
Blake Griffin,PF,25,LAC,67,67,35.2,8.6,17.1,.502,0.1,0.4,.400,8.4,16.7,.504,.506,4.6,6.4,.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9,2015
James Harden,SG,25,HOU,81,81,36.8,8.0,18.1,.440,2.6,6.9,.375,5.4,11.3,.480,.511,8.8,10.2,.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,2015
Roy Hibbert,C,28,IND,76,76,25.3,4.2,9.3,.446,0.0,0.0,.000,4.2,9.3,.448,.446,2.2,2.7,.824,2.1,5.1,7.1,1.1,0.2,1.6,1.4,2.8,10.6,2015
Jrue Holiday,PG,24,NOP,40,37,32.6,6.0,13.4,.446,1.3,3.4,.378,4.7,10.0,.469,.493,1.6,1.9,.855,0.8,2.6,3.4,6.9,1.6,0.6,2.3,2.8,14.8,2015
Al Horford,C,28,ATL,76,76,30.5,6.8,12.7,.538,0.1,0.5,.306,6.7,12.2,.547,.544,1.4,1.9,.759,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2,2015
Dwight Howard,C,29,HOU,41,41,29.8,6.1,10.3,.593,0.0,0.0,.500,6.1,10.3,.594,.595,3.5,6.6,.528,2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3,15.8,2015
Andre Iguodala,SF,31,GSW,77,0,26.9,3.0,6.4,.466,1.0,2.8,.349,2.0,3.7,.553,.540,0.9,1.5,.596,0.6,2.8,3.3,3.0,1.2,0.3,1.1,1.3,7.8,2015
