Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Anthony Davis,PF,21,NOP,4,172,28.5,.613,.023,.414,6.0,22.1,14.2,9.3,1.5,6.1,11.2,30.8,0.6,0.1,0.7,.183,6.1,1.3,7.4,0.4,2015
DeMar DeRozan,SG,25,TOR,4,159,15.7,.463,.100,.213,3.4,15.2,8.9,26.5,1.9,0.0,10.3,27.5,0.0,0.0,0.0,-0.007,1.6,-0.8,0.8,0.1,2015
Marc Gasol,C,30,MEM,11,416,21.3,.496,.011,.489,4.9,25.4,15.0,20.5,1.3,4.2,6.8,25.8,0.8,0.6,1.4,.161,3.5,2.5,6.0,0.8,2015
Pau Gasol,PF,34,CHI,10,317,20.1,.539,.035,.365,6.0,26.1,16.3,18.1,0.8,5.3,13.6,22.2,0.4,0.7,1.1,.166,1.6,2.2,3.7,0.4,2015
Draymond Green,PF,24,GSW,21,784,16.6,.517,.379,.363,6.5,22.8,14.7,21.2,2.5,2.5,17.2,19.2,0.9,1.7,2.6,.160,0.7,3.8,4.5,1.3,2015
Blake Griffin,PF,25,LAC,14,557,24.8,.557,.026,.387,7.3,26.1,16.8,27.3,1.2,2.2,12.3,28.5,1.5,0.6,2.1,.179,5.5,1.1,6.6,1.2,2015
James Harden,SG,25,HOU,17,636,24.8,.620,.364,.605,2.0,13.7,7.9,35.0,2.1,0.9,17.1,29.5,2.3,0.3,2.7,.202,6.1,1.5,7.6,1.5,2015
Al Horford,C,28,ATL,16,522,19.8,.525,.043,.095,8.2,20.1,14.2,20.4,1.3,3.6,10.2,21.4,0.8,0.7,1.5,.141,2.1,1.6,3.7,0.8,2015
Dwight Howard,C,29,HOU,17,574,20.4,.546,.000,.907,11.3,31.4,21.5,5.9,1.9,5.4,12.7,21.2,0.6,0.9,1.5,.126,1.2,1.2,2.4,0.6,2015
Andre Iguodala,SF,31,GSW,21,635,15.4,.546,.480,.380,2.8,13.2,8.1,18.0,2.0,0.9,6.6,15.1,1.3,1.0,2.2,.170,1.7,2.8,4.5,1.0,2015
Kyrie Irving,PG,22,CLE,13,464,20.9,.573,.324,.373,2.4,8.6,5.6,20.1,1.9,2.0,8.5,23.0,1.5,0.5,2.0,.209,4.5,0.7,5.2,0.8,2015
LeBron James,SF,30,CLE,20,844,25.3,.487,.202,.307,4.9,24.3,14.7,45.2,2.1,2.1,11.7,37.6,1.6,1.5,3.0,.173,5.9,2.0,7.9,2.1,2015
Joe Johnson,SG,33,BRK,6,249,14.2,.473,.436,.255,2.2,17.9,10.0,19.3,1.4,0.0,4.6,20.1,0.3,0.2,0.5,.089,0.8,0.3,1.1,0.2,2015
DeAndre Jordan,C,26,LAC,14,482,20.7,.610,.000,1.938,10.9,29.7,20.4,4.8,1.6,5.9,10.2,15.0,1.2,0.8,1.9,.192,2.9,1.5,4.4,0.8,2015
Kyle Korver,SG,33,ATL,14,526,11.3,.557,.827,.120,0.2,14.1,7.1,9.5,2.0,2.3,13.0,13.9,0.2,0.7,0.8,.077,-0.2,0.9,0.8,0.4,2015
Kawhi Leonard,SF,23,SAS,7,250,19.9,.571,.239,.321,5.4,17.2,11.1,12.5,1.6,1.3,10.8,25.0,0.5,0.2,0.7,.143,3.0,1.5,4.4,0.4,2015
